종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58J782","KBJ782삼성전자풋","10","0","0","0","0","0","0","250000000","25000000","삼성전자","78,100","-1500","-1.88"
"58J793","KBJ793LG에너지풋","125","0","0","0","0","0","0","1875000000","15000000","LG에너지솔루션","336,500","-12500","-3.58"
"58J801","KBJ801네이버풋","45","0","0","0","0","0","0","819000000","18200000","NAVER","166,100","-3800","-2.24"
"58J810","KBJ810기아콜","320","0","0","0","0","0","0","4160000000","13000000","기아","129,100","6400","5.22"
"58J815","KBJ815엘지전자콜","10","0","0","0","0","0","0","150000000","15000000","LG전자","100,400","1500","1.52"
"58J836","KBJ836모비스콜","15","0","20","20","15","20","350","330000000","22000000","현대모비스","235,000","-3000","-1.26"
"58J843","KBJ843신한지주콜","160","0","0","0","0","0","0","2400000000","15000000","신한지주","46,200","-750","-1.60"
"58J859","KBJ859케이티콜","50","-5","55","55","50","498680","27377400","1100000000","22000000","KT","36,200","-200","-0.55"
"58J993","KBJ993삼성전자풋","5","0","0","0","0","0","0","102500000","20500000","삼성전자","78,100","-1500","-1.88"
"58JA03","KBJA03SK하이닉풋","5","0","0","0","0","0","0","78500000","15700000","SK하이닉스","223,000","2000","0.90"
"58JA09","KBJA09LG에너지풋","150","0","0","0","0","0","0","1530000000","10200000","LG에너지솔루션","336,500","-12500","-3.58"
"58JA19","KBJA19삼성SDI풋","235","0","0","0","0","0","0","1997500000","8500000","삼성SDI","381,000","-2500","-0.65"
"58JA21","KBJA21현대차콜","345","55","345","345","345","30","10350","3036000000","8800000","현대차","278,500","10500","3.92"
"58JA28","KBJA28카카오풋","15","0","0","0","0","0","0","177000000","11800000","카카오","42,400","-1500","-3.42"
"58JA51","KBJA51LG이노텍풋","25","0","0","0","0","0","0","417500000","16700000","LG이노텍","261,500","-2500","-0.95"
"58JA52","KBJA52LG이노텍풋","10","-5","10","10","10","10","100","150000000","15000000","LG이노텍","261,500","-2500","-0.95"
"58JA54","KBJA54삼성바이풋","15","0","0","0","0","0","0","238500000","15900000","삼성바이오로직스","736,000","-1000","-0.14"
"58JA68","KBJA68카카뱅크풋","20","5","20","20","20","20","400","300000000","15000000","카카오뱅크","21,250","-350","-1.62"
"58JA75","KBJA75NC소프트풋","40","5","40","40","40","10","400","716000000","17900000","엔씨소프트","185,800","2500","1.36"
"58JA76","KBJA76SK텔레콤콜","30","0","30","30","30","70020","2100600","300000000","10000000","SK텔레콤","51,000","100","0.20"
"58JA78","KBJA78SK텔레콤풋","35","0","0","0","0","0","0","549500000","15700000","SK텔레콤","51,000","100","0.20"
"58JA79","KBJA79SK텔레콤풋","15","0","0","0","0","0","0","201000000","13400000","SK텔레콤","51,000","100","0.20"
"58JA84","KBJA84우리금융콜","60","-5","65","65","60","115490","7418000","738000000","12300000","우리금융지주","13,950","-170","-1.20"
"58JC71","KBJC71삼성전자콜","75","0","0","0","0","0","0","922500000","12300000","삼성전자","78,100","-1500","-1.88"
"58JC72","KBJC72삼성전자콜","75","-10","80","80","75","30","2300","900000000","12000000","삼성전자","78,100","-1500","-1.88"
"58JC73","KBJC73삼성전자콜","70","-5","70","70","70","147490","10324300","924000000","13200000","삼성전자","78,100","-1500","-1.88"
"58JC75","KBJC75삼성전자콜","125","0","0","0","0","0","0","1312500000","10500000","삼성전자","78,100","-1500","-1.88"
"58JC76","KBJC76삼성전자풋","15","0","0","0","0","0","0","247500000","16500000","삼성전자","78,100","-1500","-1.88"
"58JC81","KBJC81SK하이닉풋","10","0","0","0","0","0","0","117000000","11700000","SK하이닉스","223,000","2000","0.90"
"58JC83","KBJC83네이버콜","25","0","0","0","0","0","0","365000000","14600000","NAVER","166,100","-3800","-2.24"
"58JD20","KBJD20삼성바이풋","30","0","30","30","30","30","900","450000000","15000000","삼성바이오로직스","736,000","-1000","-0.14"
"58JD21","KBJD21모비스콜","50","-10","55","55","50","284330","14927350","785000000","15700000","현대모비스","235,000","-3000","-1.26"
"58JD22","KBJD22모비스콜","35","0","40","40","35","133270","4908750","595000000","17000000","현대모비스","235,000","-3000","-1.26"
"58JD24","KBJD24모비스풋","15","0","0","0","0","0","0","345000000","23000000","현대모비스","235,000","-3000","-1.26"
